Collection,Code,Product Varitation,Product group,Design Variation,Species,Grade,Construction,Profile,Texture,Finish,Edge,Certification
SUPERFINE,NAUTI021,Natica Extra Wide Plank,Natica,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel, FSC® Mix Credit
SUPERFINE,NAUTI021.15m-22,Natica Extra Wide Plank,Natica,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel,FSC® 100%
SUPERFINE,NAUTI021.15m-26,Natica Extra Wide Plank,Natica,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel,FSC® 100%
SUPERFINE,NAUTI028,Nerite Extra Wide Plank,Nerite,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,"Double Fumed, Naked Skin Lacquer Satin",Micro Bevel,FSC® 100%
SUPERFINE,NAUTI022,Opihi Extra Wide Plank,Opihi,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,"Double Fumed, Burnished Hardwax Oil Matt",Micro Bevel,FSC® 100%
SUPERFINE,NAUTI030,Praya Extra Wide Plank,Praya,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Naked Skin Lacquer Matt,Micro Bevel, FSC® Mix Credit
SUPERFINE,NAUTI030.15m-22,Praya Extra Wide Plank,Praya,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Naked Skin Lacquer Matt,Micro Bevel,FSC® 100%
SUPERFINE,NAUTI030.15m-26,Praya Extra Wide Plank,Praya,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Naked Skin Lacquer Matt,Micro Bevel,FSC® 100%
SUPERFINE,NAUTI016,Purpura Extra Wide Plank,Purpura,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,"Double Fumed, Burnished Hardwax Oil Matt",Micro Bevel,FSC® 100%
SUPERFINE,NAUTI008,Pyram Extra Wide Plank,Pyram,Extra Wide Plank ,European Oak,Superprime,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel, FSC® Mix Credit
